,rating_1,rating_2,rating_3
disability,Inspiring,Beautiful,Fascinating
disaster relief,Informative,Inspiring,Persuasive
discovery,Informative,Fascinating,Inspiring
disease,Informative,Fascinating,Inspiring
driverless cars,Informative,Fascinating,Inspiring
drones,Fascinating,Inspiring,Jaw-dropping
ebola,Informative,Inspiring,Persuasive
ecology,Informative,Inspiring,Fascinating
economics,Informative,Inspiring,Persuasive
education,Inspiring,Informative,Fascinating
empathy,Inspiring,Informative,Courageous
energy,Inspiring,Informative,Fascinating
engineering,Informative,Fascinating,Inspiring
entertainment,Inspiring,Funny,Fascinating
entrepreneur,Inspiring,Informative,Fascinating
environment,Informative,Inspiring,Fascinating
epidemiology,Informative,Inspiring,Courageous
evil,Fascinating,Informative,Inspiring
evolution,Fascinating,Informative,Inspiring
evolutionary psychology,Inspiring,Informative,Persuasive
exoskeleton,Inspiring,Fascinating,Beautiful
exploration,Fascinating,Informative,Inspiring
extraterrestrial life,Fascinating,Informative,Funny
extreme sports,Inspiring,Courageous,Fascinating
failure,Inspiring,Persuasive,Courageous
faith,Inspiring,Persuasive,Beautiful
family,Inspiring,Beautiful,Courageous
farming,Informative,Inspiring,Fascinating
fashion,Inspiring,Courageous,Beautiful
fear,Inspiring,Courageous,Beautiful
feminism,Inspiring,Courageous,Informative
film,Inspiring,Fascinating,Beautiful
finance,Informative,Inspiring,Persuasive
fish,Fascinating,Jaw-dropping,Informative
flight,Fascinating,Inspiring,Informative
food,Informative,Inspiring,Persuasive
forensics,Informative,Fascinating,Persuasive
friendship,Inspiring,Beautiful,Informative
funny,Inspiring,Beautiful,Funny
future,Inspiring,Informative,Fascinating
gaming,Inspiring,Fascinating,Ingenious
garden,Inspiring,Informative,Fascinating
gender,Inspiring,Courageous,Informative
genetics,Informative,Fascinating,Inspiring
geology,Fascinating,Informative,Inspiring
glacier,Beautiful,Fascinating,Inspiring
global development,Inspiring,Informative,Fascinating
global issues,Inspiring,Informative,Persuasive
goal-setting,Inspiring,Persuasive,Informative
government,Inspiring,Informative,Persuasive
grammar,Informative,Funny,Persuasive
green,Inspiring,Informative,Persuasive
guitar,Beautiful,Inspiring,Fascinating
